カテゴリ,ファイル名,主要機能,詳細説明,技術要素,関連モデル,処理フロー,入出力,ビジネスロジック,エラーハンドリング,パフォーマンス考慮
データ処理・インポート,import_standard_accounts_direct.py,直接標準勘定科目インポート,データベースに直接標準勘定科目をインポート・高速直接処理・SQL最適化・一括直接取り込み機能,直接インポート + SQL最適化,StandardAccount,1.直接インポート準備→2.SQL最適化→3.一括直接処理→4.高速インポート→5.直接検証→6.完了確認,入力：勘定科目データ / 出力：直接インポート結果・処理統計,高速直接処理・SQL最適化・一括処理制御・効率化,直接処理エラー・SQL失敗・一括処理問題のハンドリング,最高速インポート・SQL最適化・直接処理効率化
データ処理・インポート,insert_pl_accounts.py,PL勘定科目挿入,損益計算書勘定科目の個別挿入・PL科目の追加・収益費用科目管理・PL構造拡張機能,PL科目管理 + 個別挿入,StandardAccount,1.PL科目定義→2.収益費用分類→3.個別挿入処理→4.PL構造拡張→5.整合性確認→6.完了確認,入力：PL勘定科目定義 / 出力：挿入済みPL科目・構造拡張データ,PL科目の個別管理・収益費用分類・構造拡張制御,挿入エラー・分類失敗・構造拡張問題のハンドリング,効率的な個別挿入・PL構造最適化・分類精度向上
データ処理・インポート,simple_import_pl.py,簡易PLインポート,シンプルなPLデータインポート・基本PL取り込み・軽量処理・エラー最小化インポート機能,簡易インポート + 軽量処理,StandardAccount・CSVData,1.簡易PL読み込み→2.基本検証→3.軽量処理→4.簡易インポート→5.基本確認→6.完了,入力：PLデータ / 出力：簡易インポート結果・基本レポート,簡易PL処理・基本インポート制御・軽量化ロジック,基本エラー・簡易処理失敗・軽量化問題のハンドリング,最軽量処理・高速簡易インポート・メモリ最小化
データ処理・インポート,direct_import_bs.py,BS直接インポート,貸借対照表データの直接インポート・高速BS取り込み・BS専用最適化・データベース直接操作機能,BS直接処理 + 高速化,StandardAccount・CSVData,1.BSデータ抽出→2.直接処理準備→3.高速インポート→4.BS検証→5.整合性確認→6.完了確認,入力：BSデータ / 出力：BS直接インポート結果・処理統計,BS特化処理・高速インポート・直接データベース操作・効率化,BS処理エラー・直接インポート失敗・整合性問題のハンドリング,最高速BS処理・直接操作最適化・メモリ効率化
データ処理・インポート,direct_import_pl_cf.py,PL・CF直接インポート,損益計算書・キャッシュフロー計算書の直接インポート・統合処理・高速取り込み・一括直接操作機能,PL・CF統合処理 + 直接操作,StandardAccount・CSVData,1.PL・CFデータ抽出→2.統合処理準備→3.直接一括インポート→4.統合検証→5.整合性確認→6.完了確認,入力：PL・CFデータ / 出力：統合インポート結果・処理統計,PL・CF統合処理・一括インポート・高速処理・効率化,統合処理エラー・直接インポート失敗・整合性問題のハンドリング,統合処理最適化・一括操作効率化・高速処理
AI・自動マッピング機能,ai_account_mapper.py,AI支援勘定科目自動マッピング,Azure OpenAI API連携による勘定科目自動マッピング・完全一致マッピング・AI支援マッピング・文字列類似度マッピング・バッチ処理対応・マッピング結果統計機能,Azure OpenAI API + 自然言語処理,CSVData・StandardAccount・AccountMapping,1.未マッピング科目抽出→2.文字列正規化→3.完全一致チェック→4.AIマッピング実行→5.信頼度評価→6.結果保存,入力：未マッピング勘定科目・標準勘定科目マスタ / 出力：マッピング結果・信頼度スコア・処理統計,AIによる自然言語理解・パターン認識・類似度計算・学習データ活用・マッピング精度向上,API接続エラー・認証エラー・レート制限・AI応答エラーのハンドリング,API呼び出し最適化・バッチ処理・キャッシュ活用・並列処理
AI・自動マッピング機能,ai_mapping_rules.py,JA預金科目マッピングルール,JA特有の勘定科目ルール定義・預金関連科目の負債科目マッピング・ルールベース自動判定・JAの業務特性に対応した特別ルール適用機能,ルールエンジン + JA業務知識,StandardAccount・AccountMapping,1.ルール定義読み込み→2.対象科目判定→3.ルール適用→4.優先度評価→5.マッピング決定→6.例外処理,入力：勘定科目名・業界ルール定義 / 出力：ルールベースマッピング結果・適用ルール情報,JA業界特有のビジネスルール・規制対応・業務慣行反映・例外処理・ルール管理,ルール競合・例外ケース・ルール更新・適用エラーのハンドリング,高速ルール適用・メモリ効率的なルール管理
AI・自動マッピング機能,batch_mapping.py,バッチ処理一括マッピング,大量データの効率的処理・タイムアウト防止機能・処理進捗管理・エラーハンドリング・一度に複数勘定科目のマッピング実行・メモリ使用量制御機能,バッチ処理 + パフォーマンス最適化,CSVData・AccountMapping・StandardAccount,1.処理対象抽出→2.バッチサイズ決定→3.並列処理実行→4.進捗監視→5.エラー処理→6.結果集約,入力：大量未マッピングデータ・処理設定 / 出力：マッピング結果・処理統計・エラーログ,大量データ処理・効率化・リソース管理・品質保証・進捗管理・エラー回復,メモリ不足・タイムアウト・処理中断・データ競合のハンドリング,並列処理最適化・メモリ管理・負荷分散・処理効率化
AI・自動マッピング機能,direct_sql_mapping.py,SQL直接マッピング処理,高速データベース操作・一括更新処理・参照マッピング機能・SQLクエリによる直接データ操作・大量データの高速処理・トランザクション管理機能,SQL最適化 + データベース操作,AccountMapping・CSVData,1.SQLクエリ生成→2.トランザクション開始→3.一括処理実行→4.整合性チェック→5.コミット→6.結果検証,入力：マッピング条件・対象データ範囲 / 出力：更新結果・処理統計・整合性レポート,高速データ処理・参照整合性保証・トランザクション管理・ロック最適化・性能向上,SQLエラー・デッドロック・整合性制約違反・トランザクション競合のハンドリング,SQL最適化・インデックス活用・バッチサイズ最適化
AI・自動マッピング機能,reference_mapping.py,参照マッピング機能,他JAのマッピング結果を参照してマッピングを行う機能・類似JA検索・マッピングパターン参照・学習データ活用・マッピング精度向上機能,参照システム + パターン学習,AccountMapping・CSVData,1.参照JA検索→2.類似科目抽出→3.マッピングパターン分析→4.参照マッピング実行→5.精度評価→6.結果適用,入力：未マッピング科目・参照JA情報 / 出力：参照マッピング結果・精度スコア,参照学習・パターン認識・マッピング精度向上・学習データ活用・知識共有,参照データ不足・パターン不一致・精度不足のハンドリング,高速参照検索・効率的なパターンマッチング・学習最適化
AI・自動マッピング機能,quick_mapping.py,クイックマッピング機能,高速マッピング処理・簡易マッピング・即座マッピング・基本的なマッピングルール適用・処理速度優先のマッピング機能,高速処理 + 簡易マッピング,AccountMapping・CSVData,1.対象科目抽出→2.基本ルール適用→3.高速マッピング実行→4.結果検証→5.データ保存→6.処理完了,入力：マッピング対象科目 / 出力：クイックマッピング結果・処理時間,高速処理・基本マッピング・効率重視・即座処理・簡易ルール適用,マッピングエラー・ルール不適用・処理失敗のハンドリング,最高速度処理・最小リソース使用・並列処理最適化
AI・自動マッピング機能,simple_exact_match.py,簡易完全一致マッピング,シンプルな完全一致マッピング機能・基本的な文字列完全一致・高速処理・軽量実装・エラー最小化マッピング機能,完全一致処理 + 軽量実装,AccountMapping・StandardAccount,1.対象科目取得→2.文字列正規化→3.完全一致検索→4.マッピング実行→5.結果保存→6.統計更新,入力：未マッピング科目・標準科目 / 出力：完全一致マッピング結果・一致統計,完全一致処理・文字列比較・高速マッピング・軽量処理・エラー最小化,一致なし・文字列エラー・マッピング失敗のハンドリング,最高速一致処理・メモリ効率・軽量実装
バックアップ・データ保護,backup_system.py,データバックアップ・リストア,マッピングデータバックアップ・残高データバックアップ・JSON形式での保存・既存データ確認機能・詳細復元レポート・データ整合性チェック・バックアップファイル管理機能,JSON処理 + ファイル操作 + データ保護,AccountMapping・StandardAccountBalance・CSVData,1.バックアップ対象選択→2.データ抽出→3.JSONシリアライズ→4.圧縮・暗号化→5.ファイル保存→6.世代管理,入力：バックアップ対象・設定情報 / 出力：バックアップファイル・検証レポート・管理情報,データ保護・世代管理・整合性保証・復元可能性確保・セキュリティ確保,ファイル書き込みエラー・ディスク容量不足・暗号化エラーのハンドリング,効率的なデータ圧縮・高速バックアップ・最小ディスク使用量
バックアップ・データ保護,backup_api.py,バックアップ機能API,バックアップ作成API・バックアップ一覧取得API・データ復元API・2段階確認プロンプト・エラーハンドリング・RESTful API設計・セキュリティ確認機能,REST API + セキュリティ + 確認プロセス,AccountMapping・StandardAccountBalance,1.APIリクエスト受信→2.認証・承認→3.2段階確認→4.バックアップ処理実行→5.結果検証→6.レスポンス生成,入力：APIリクエスト・認証情報 / 出力：APIレスポンス・処理結果・監査ログ,セキュリティ確保・操作確認・権限管理・監査証跡・データ保護・誤操作防止,認証エラー・権限不足・確認不備・処理失敗のハンドリング,APIレスポンス最適化・セキュリティ処理効率化
API・エンドポイント,api_endpoints.py,REST APIエンドポイント定義,リスクデータ取得API・勘定科目データ取得API・JA比較分析API・キャッシュクリアAPI・レスポンス形式統一・JSON形式データ提供・CORS対応機能,REST API + JSON + CORS,AnalysisResult・StandardAccountBalance・JA,1.APIリクエスト受信→2.パラメータ検証→3.ビジネスロジック実行→4.データ取得・加工→5.JSONレスポンス生成→6.CORSヘッダ設定,入力：HTTPリクエスト・APIパラメータ / 出力：JSONレスポンス・ステータスコード,RESTful設計・データ提供・フォーマット統一・エラー処理・性能最適化・CORS対応,パラメータエラー・データ取得エラー・JSONシリアライズエラーのハンドリング,高速レスポンス・効率的なデータ取得・JSON最適化
API・エンドポイント,clear_cache_route.py,キャッシュクリア機能,JAユーザー登録画面キャッシュクリア・ブラウザキャッシュバイパス・特殊ルート定義・キャッシュ無効化処理・パフォーマンス最適化・メモリ管理機能,キャッシュ管理 + ブラウザ制御,なし,1.キャッシュクリア要求→2.対象キャッシュ特定→3.無効化処理実行→4.ブラウザ指示→5.メモリクリア→6.処理完了通知,入力：キャッシュクリア要求 / 出力：クリア完了通知・ブラウザ制御指示,キャッシュ戦略・メモリ管理・パフォーマンス最適化・データ整合性・ユーザー体験向上,キャッシュアクセスエラー・メモリ不足・ブラウザ制御エラーのハンドリング,効率的なキャッシュ管理・最小限のパフォーマンス影響
勘定科目管理・追加,add_current_assets.py,流動資産科目追加,流動資産親科目設定・子科目関係定義・表示順序設定・勘定科目階層構造の構築・標準勘定科目マスタへの追加処理機能,勘定科目体系 + 階層構造管理,StandardAccount,1.対象科目定義→2.階層関係設定→3.重複チェック→4.データ挿入→5.参照整合性確認→6.表示順序設定,入力：科目定義・階層情報・表示設定 / 出力：追加済み勘定科目・階層構造・検証結果,勘定科目体系管理・階層構造構築・データ整合性保証・標準化・体系化,重複エラー・階層エラー・参照整合性エラー・データ競合のハンドリング,効率的な階層構築・最小限のデータ操作・整合性チェック最適化
勘定科目管理・追加,add_total_accounts.py,BS合計科目追加,貸借対照表合計科目追加・階層構造定義・計算式設定・資産の部・負債の部・純資産の部合計科目の標準勘定科目マスタ追加機能,勘定科目体系 + 財務諸表構造,StandardAccount・AccountFormula,1.BS構造分析→2.合計科目定義→3.計算式設定→4.依存関係定義→5.データ追加→6.整合性検証,入力：BS構造定義・計算式・合計科目設定 / 出力：BS合計科目・計算式・検証結果,財務諸表理論・勘定体系・計算ロジック・構造設計・標準化,構造エラー・計算式エラー・依存関係エラー・整合性エラーのハンドリング,効率的な構造構築・計算式最適化・依存関係最適化
勘定科目管理・追加,ja_management.py,JA管理機能,JA（農業協同組合）の登録・編集・削除機能・JA基本情報管理・組織情報管理・連絡先情報管理・管理画面提供機能,JA管理システム + データ管理,JA,1.JA情報入力→2.データ検証→3.重複チェック→4.データベース保存→5.確認画面表示→6.管理一覧更新,入力：JA基本情報・組織情報・連絡先 / 出力：登録確認・管理一覧・検証結果,JA組織管理・基本情報管理・データ整合性保証・重複防止・情報更新管理,重複登録エラー・必須項目未入力・データ形式エラーのハンドリング,効率的なJA情報管理・検索最適化・一覧表示最適化
ルーティング・画面制御,route_extensions.py,ルート拡張機能,追加ルーティング機能・特殊画面制御・カスタムエンドポイント・画面遷移制御・ユーザーインターフェース拡張機能,Flask拡張ルーティング + UI制御,複数モデル,1.拡張ルート定義→2.カスタム処理実装→3.画面制御ロジック→4.データ処理→5.レスポンス生成→6.画面遷移,入力：カスタムリクエスト・特殊パラメータ / 出力：拡張画面・カスタムレスポンス,カスタム業務ロジック・特殊画面制御・ユーザー体験向上・機能拡張,カスタムエラー・特殊ケース・画面制御エラーのハンドリング,カスタム処理最適化・画面レンダリング最適化
ルーティング・画面制御,standard_accounts_route.py,標準勘定科目ルート,標準勘定科目管理画面のルーティング・勘定科目一覧表示・検索機能・フィルタ機能・ソート機能・勘定科目詳細表示機能,勘定科目管理 + 画面制御,StandardAccount,1.勘定科目要求受信→2.検索・フィルタ処理→3.ソート処理→4.ページネーション→5.画面レンダリング→6.レスポンス返却,入力：検索条件・フィルタ・ソート設定 / 出力：勘定科目一覧・詳細情報・検索結果,勘定科目管理・検索機能・データ表示・ユーザーインターフェース・操作性向上,検索エラー・データ取得エラー・表示エラーのハンドリング,高速検索・効率的なデータ表示・ページネーション最適化
最適化・パフォーマンス,performance_enhancer.py,パフォーマンス向上機能,システム全体のパフォーマンス監視・処理速度最適化・メモリ使用量管理・レスポンス時間改善・ボトルネック特定・最適化提案機能,パフォーマンス監視 + 最適化,全モデル,1.パフォーマンス監視→2.ボトルネック特定→3.最適化実行→4.効果測定→5.改善提案→6.継続監視,入力：システム稼働データ・監視設定 / 出力：パフォーマンスレポート・最適化結果・改善提案,パフォーマンス管理・最適化戦略・リソース管理・効率化・品質向上,パフォーマンス劣化・リソース不足・最適化失敗のハンドリング,高速パフォーマンス分析・効率的な最適化・リアルタイム監視
最適化・パフォーマンス,optimize_account_balances.py,勘定科目残高最適化,勘定科目残高データの最適化・データ構造改善・クエリ性能向上・インデックス最適化・残高計算効率化機能,データ最適化 + クエリ性能向上,StandardAccountBalance,1.残高データ分析→2.最適化計画→3.構造改善→4.インデックス最適化→5.性能測定→6.効果確認,入力：残高データ・最適化設定 / 出力：最適化結果・性能改善レポート・効率化データ,残高データ最適化・クエリ性能向上・データ構造改善・効率化,最適化失敗・性能劣化・データ構造エラーのハンドリング,高速残高処理・効率的なデータ構造・クエリ最適化
ユーティリティ,utils.py,共通ユーティリティ,システム全体で使用される共通関数・データ変換・文字列処理・日付処理・計算補助・エラーハンドリング補助機能,共通関数ライブラリ + ユーティリティ,なし,1.関数呼び出し→2.パラメータ検証→3.処理実行→4.結果変換→5.エラーチェック→6.結果返却,入力：各種データ・処理パラメータ / 出力：変換済みデータ・処理結果,共通処理・データ変換・文字列操作・日付計算・エラー制御,共通エラー・変換エラー・パラメータエラー・処理失敗のハンドリング,高速共通処理・効率的なユーティリティ・メモリ最適化
データ確認・検証ツール,check_accounts_display_order.py,勘定科目表示順序確認,勘定科目の表示順序確認・画面表示制御・ソート順序検証・ユーザーインターフェース表示順序の適切性確認機能,UI/UX + 表示制御,StandardAccount・StandardAccountBalance,1.表示順序取得→2.ソート順検証→3.UI表示確認→4.順序適切性チェック→5.問題特定→6.改善提案,入力：表示設定・ソート条件 / 出力：表示順序検証結果・UI改善提案,ユーザーインターフェース設計・表示順序管理・ユーザビリティ向上・操作性最適化,表示エラー・ソート失敗・UI不整合のハンドリング,高速表示処理・効率的なソート・UIレンダリング最適化
データ確認・検証ツール,check_analysis_results.py,分析結果確認,財務指標計算結果検証・分析結果データの整合性確認・計算精度検証・指標値の妥当性チェック・リスクスコア検証機能,計算結果検証 + 精度管理,AnalysisResult,1.分析結果取得→2.計算精度検証→3.妥当性チェック→4.整合性確認→5.異常値検出→6.品質評価,入力：分析結果データ・検証基準 / 出力：検証結果・精度レポート・品質評価,分析精度管理・計算結果検証・品質保証・信頼性確保・妥当性確認,計算エラー・精度不足・異常値・整合性エラーのハンドリング,高速結果検証・効率的な精度チェック・並列検証処理
データ確認・検証ツール,check_and_fix_ja004.py,JA004安全性指標確認・修正,特定JA（JA004）の安全性指標データ確認・修正処理・個別JA対応・データ修正機能・特定ケース対応処理機能,個別対応 + データ修正,AnalysisResult・StandardAccountBalance,1.JA004データ抽出→2.安全性指標確認→3.問題特定→4.修正処理実行→5.結果検証→6.レポート生成,入力：JA004識別情報・修正設定 / 出力：修正結果・検証レポート・改善状況,個別JA対応・特定問題解決・データ品質向上・カスタム修正・品質管理,データ不整合・修正失敗・特定エラー・検証失敗のハンドリング,効率的な個別処理・最適化された修正処理・高速検証
データ確認・検証ツール,check_api_endpoints.py,APIエンドポイント確認,API動作確認・エンドポイント応答テスト・API機能検証・レスポンス確認・APIの健全性チェック機能,APIテスト + 動作確認,なし,1.APIエンドポイント特定→2.テストリクエスト送信→3.レスポンス検証→4.機能確認→5.性能測定→6.健全性評価,入力：APIエンドポイント・テスト設定 / 出力：APIテスト結果・性能データ・健全性レポート,API品質管理・機能検証・性能監視・可用性確認・信頼性保証,APIエラー・接続失敗・レスポンス異常・タイムアウトのハンドリング,高速APIテスト・効率的な検証・並列テスト実行
データ確認・検証ツール,check_available_data.py,利用可能データ確認,データ可用性チェック・システム内データの利用可能状況確認・データ存在確認・アクセス可能性検証機能,データ可用性 + アクセス制御,全モデル,1.データソース確認→2.可用性チェック→3.アクセス権限確認→4.データ整合性検証→5.利用状況評価→6.可用性レポート,入力：データ識別情報・アクセス設定 / 出力：可用性レポート・アクセス状況・利用統計,データガバナンス・可用性管理・アクセス制御・データ品質・利用最適化,アクセス拒否・データ不在・権限エラー・整合性エラーのハンドリング,高速可用性チェック・効率的なアクセス確認・並列データ確認
