code,name,category,financial_statement,account_type,display_order,parent_code,description
51200,役務取引等費用,Expense,pl,PL費用,43,51000,役務取引等費用
51210,支払手数料,Expense,pl,PL費用,44,51200,支払手数料
51220,その他役務取引等費用,Expense,pl,PL費用,45,51200,その他役務取引等費用
51300,その他信用事業費用,Expense,pl,PL費用,46,51000,その他信用事業費用
51310,貸倒引当金繰入,Expense,pl,PL費用,47,51300,貸倒引当金繰入
51320,その他信用事業費用,Expense,pl,PL費用,48,51300,その他信用事業費用
52000,共済事業費用,Expense,pl,PL費用,49,50000,共済事業費用
52100,共済推進費,Expense,pl,PL費用,50,52000,共済推進費
52200,共済保全費,Expense,pl,PL費用,51,52000,共済保全費
52300,その他共済事業費用,Expense,pl,PL費用,52,52000,その他共済事業費用
53000,経済事業費用,Expense,pl,PL費用,53,50000,経済事業費用
53100,購買事業費用,Expense,pl,PL費用,54,53000,購買事業費用
53110,生産資材供給原価,Expense,pl,PL費用,55,53100,生産資材供給原価
53120,生活資材供給原価,Expense,pl,PL費用,56,53100,生活資材供給原価
53130,その他購買事業費用,Expense,pl,PL費用,57,53100,その他購買事業費用
53200,販売事業費用,Expense,pl,PL費用,58,53000,販売事業費用
53210,販売品販売原価,Expense,pl,PL費用,59,53200,販売品販売原価
53220,販売手数料,Expense,pl,PL費用,60,53200,販売手数料
53230,その他販売事業費用,Expense,pl,PL費用,61,53200,その他販売事業費用
53300,加工事業費用,Expense,pl,PL費用,62,53000,加工事業費用
53400,利用事業費用,Expense,pl,PL費用,63,53000,利用事業費用
53500,その他経済事業費用,Expense,pl,PL費用,64,53000,その他経済事業費用
54000,指導事業費用,Expense,pl,PL費用,65,50000,指導事業費用
54100,営農指導費,Expense,pl,PL費用,66,54000,営農指導費
54200,生活指導費,Expense,pl,PL費用,67,54000,生活指導費
54300,その他指導事業費用,Expense,pl,PL費用,68,54000,その他指導事業費用
55000,その他事業費用,Expense,pl,PL費用,69,50000,その他事業費用
55100,受託事業費用,Expense,pl,PL費用,70,55000,受託事業費用
55200,宅地等供給事業費用,Expense,pl,PL費用,71,55000,宅地等供給事業費用
55300,福祉事業費用,Expense,pl,PL費用,72,55000,福祉事業費用
55400,その他事業費用,Expense,pl,PL費用,73,55000,その他事業費用
60000,事業総利益,Income,pl,PL収益,74,,事業総利益
70000,事業管理費,Expense,pl,PL費用,75,,事業管理費
71000,人件費,Expense,pl,PL費用,76,70000,人件費
71100,役員報酬,Expense,pl,PL費用,77,71000,役員報酬
71200,給料手当,Expense,pl,PL費用,78,71000,給料手当
71300,福利厚生費,Expense,pl,PL費用,79,71000,福利厚生費
71400,退職給付費用,Expense,pl,PL費用,80,71000,退職給付費用
71500,その他人件費,Expense,pl,PL費用,81,71000,その他人件費
72000,業務費,Expense,pl,PL費用,82,70000,業務費
72100,旅費交通費,Expense,pl,PL費用,83,72000,旅費交通費
72200,通信費,Expense,pl,PL費用,84,72000,通信費
72300,広報費,Expense,pl,PL費用,85,72000,広報費
72400,消耗品費,Expense,pl,PL費用,86,72000,消耗品費
72500,印刷費,Expense,pl,PL費用,87,72000,印刷費
72600,その他業務費,Expense,pl,PL費用,88,72000,その他業務費
73000,諸税負担金,Expense,pl,PL費用,89,70000,諸税負担金
73100,租税公課,Expense,pl,PL費用,90,73000,租税公課
73200,賦課金,Expense,pl,PL費用,91,73000,賦課金
73300,その他負担金,Expense,pl,PL費用,92,73000,その他負担金
74000,施設費,Expense,pl,PL費用,93,70000,施設費
74100,減価償却費,Expense,pl,PL費用,94,74000,減価償却費
74200,修繕費,Expense,pl,PL費用,95,74000,修繕費
74300,保険料,Expense,pl,PL費用,96,74000,保険料
74400,賃借料,Expense,pl,PL費用,97,74000,賃借料
74500,その他施設費,Expense,pl,PL費用,98,74000,その他施設費
75000,その他管理費,Expense,pl,PL費用,99,70000,その他管理費
80000,事業利益,Income,pl,PL収益,100,,事業利益
81000,事業外収益,Income,pl,PL収益,101,80000,事業外収益
81100,受取配当金,Income,pl,PL収益,102,81000,受取配当金
81200,賃貸料,Income,pl,PL収益,103,81000,賃貸料
81300,雑収入,Income,pl,PL収益,104,81000,雑収入
82000,事業外費用,Expense,pl,PL費用,105,80000,事業外費用
82100,寄付金,Expense,pl,PL費用,106,82000,寄付金
82200,雑損失,Expense,pl,PL費用,107,82000,雑損失
83000,経常利益,Income,pl,PL収益,108,80000,経常利益
90000,特別損益,Income,pl,PL収益,109,,特別損益
91000,特別利益,Income,pl,PL収益,110,90000,特別利益
91100,固定資産処分益,Income,pl,PL収益,111,91000,固定資産処分益
91200,一般補助金,Income,pl,PL収益,112,91000,一般補助金
91300,その他特別利益,Income,pl,PL収益,113,91000,その他特別利益
92000,特別損失,Expense,pl,PL費用,114,90000,特別損失
92100,固定資産処分損,Expense,pl,PL費用,115,92000,固定資産処分損
92200,固定資産減損損失,Expense,pl,PL費用,116,92000,固定資産減損損失
92300,その他特別損失,Expense,pl,PL費用,117,92000,その他特別損失
93000,税引前当期利益,Income,pl,PL収益,118,,税引前当期利益
93100,法人税・住民税及び事業税,Expense,pl,PL費用,119,,法人税・住民税及び事業税
93200,法人税等調整額,Expense,pl,PL費用,120,,法人税等調整額
99000,当期剰余金,Income,pl,PL収益,121,,当期剰余金
