code,name,category,financial_statement,account_type,display_order,parent_code,description
8200,事業外費用,Expense,pl,PL費用,84,8000,事業外費用
8210,支払利息,Expense,pl,PL費用,85,8200,支払利息
8220,寄付金,Expense,pl,PL費用,86,8200,寄付金
8230,雑損失,Expense,pl,PL費用,87,8200,雑損失
8300,経常利益,Income,pl,PL収益,88,8000,経常利益
8400,特別利益,Income,pl,PL収益,89,8000,特別利益
8410,固定資産処分益,Income,pl,PL収益,90,8400,固定資産処分益
8420,一般補助金,Income,pl,PL収益,91,8400,一般補助金
8430,その他特別利益,Income,pl,PL収益,92,8400,その他特別利益
8500,特別損失,Expense,pl,PL費用,93,8000,特別損失
8510,固定資産処分損,Expense,pl,PL費用,94,8500,固定資産処分損
8520,固定資産圧縮損,Expense,pl,PL費用,95,8500,固定資産圧縮損
8530,その他特別損失,Expense,pl,PL費用,96,8500,その他特別損失
8600,税引前当期利益,Income,pl,PL収益,97,8000,税引前当期利益
8700,法人税等,Expense,pl,PL費用,98,8000,法人税等
8800,当期剰余金,Income,pl,PL収益,99,8000,当期剰余金
