code,name,category,financial_statement,account_type,display_order,parent_code,description
12420,長期前払費用,Assets,bs,BS資産,68,12400,長期前払費用
12430,繰延税金資産,Assets,bs,BS資産,69,12400,繰延税金資産
12440,その他,Assets,bs,BS資産,70,12400,その他固定資産
20000,負債の部,Liabilities,bs,BS負債,71,,負債合計
21000,流動負債,Liabilities,bs,BS負債,72,20000,流動負債合計
21100,貯金,Liabilities,bs,BS負債,73,21000,貯金
21110,当座貯金,Liabilities,bs,BS負債,74,21100,当座貯金
21120,普通貯金,Liabilities,bs,BS負債,75,21100,普通貯金
21130,貯蓄貯金,Liabilities,bs,BS負債,76,21100,貯蓄貯金
21140,通知貯金,Liabilities,bs,BS負債,77,21100,通知貯金
21150,定期貯金,Liabilities,bs,BS負債,78,21100,定期貯金
21160,定期積金,Liabilities,bs,BS負債,79,21100,定期積金
21170,組合員勘定,Liabilities,bs,BS負債,80,21100,組合員勘定
21180,その他貯金,Liabilities,bs,BS負債,81,21100,その他貯金
21200,短期借入金,Liabilities,bs,BS負債,82,21000,短期借入金
21210,日本政策金融公庫借入金,Liabilities,bs,BS負債,83,21200,日本政策金融公庫借入金
21220,系統借入金,Liabilities,bs,BS負債,84,21200,系統借入金
21230,系統外借入金,Liabilities,bs,BS負債,85,21200,系統外借入金
21240,その他短期借入金,Liabilities,bs,BS負債,86,21200,その他短期借入金
21300,販売債務,Liabilities,bs,BS負債,87,21000,販売債務
21310,販売仮受金,Liabilities,bs,BS負債,88,21300,販売仮受金
21320,販売未払金,Liabilities,bs,BS負債,89,21300,販売未払金
21330,その他販売債務,Liabilities,bs,BS負債,90,21300,その他販売債務
21400,経済受託債務,Liabilities,bs,BS負債,91,21000,経済受託債務
21410,購買仮受金,Liabilities,bs,BS負債,92,21400,購買仮受金
21420,購買未払金,Liabilities,bs,BS負債,93,21400,購買未払金
21430,その他経済受託債務,Liabilities,bs,BS負債,94,21400,その他経済受託債務
21500,その他流動負債,Liabilities,bs,BS負債,95,21000,その他流動負債
21510,未払費用,Liabilities,bs,BS負債,96,21500,未払費用
21520,前受収益,Liabilities,bs,BS負債,97,21500,前受収益
21530,仮受金,Liabilities,bs,BS負債,98,21500,仮受金
21540,預り金,Liabilities,bs,BS負債,99,21500,預り金
21550,賞与引当金,Liabilities,bs,BS負債,100,21500,賞与引当金
21560,その他,Liabilities,bs,BS負債,101,21500,その他流動負債
22000,固定負債,Liabilities,bs,BS負債,102,20000,固定負債合計
22100,長期借入金,Liabilities,bs,BS負債,103,22000,長期借入金
22110,日本政策金融公庫借入金,Liabilities,bs,BS負債,104,22100,日本政策金融公庫借入金
22120,系統借入金,Liabilities,bs,BS負債,105,22100,系統借入金
22130,系統外借入金,Liabilities,bs,BS負債,106,22100,系統外借入金
22140,その他長期借入金,Liabilities,bs,BS負債,107,22100,その他長期借入金
22200,引当金,Liabilities,bs,BS負債,108,22000,引当金
22210,退職給付引当金,Liabilities,bs,BS負債,109,22200,退職給付引当金
22220,役員退職慰労引当金,Liabilities,bs,BS負債,110,22200,役員退職慰労引当金
22230,特別引当金,Liabilities,bs,BS負債,111,22200,特別引当金
22240,その他引当金,Liabilities,bs,BS負債,112,22200,その他引当金
22300,その他固定負債,Liabilities,bs,BS負債,113,22000,その他固定負債
22310,繰延税金負債,Liabilities,bs,BS負債,114,22300,繰延税金負債
22320,資産除去債務,Liabilities,bs,BS負債,115,22300,資産除去債務
22330,その他,Liabilities,bs,BS負債,116,22300,その他固定負債
30000,純資産の部,Equity,bs,BS純資産,117,,純資産合計
31000,出資金,Equity,bs,BS純資産,118,30000,出資金
31100,組合員出資金,Equity,bs,BS純資産,119,31000,組合員出資金
31200,准組合員出資金,Equity,bs,BS純資産,120,31000,准組合員出資金
31300,回転出資金,Equity,bs,BS純資産,121,31000,回転出資金
32000,資本剰余金,Equity,bs,BS純資産,122,30000,資本剰余金
32100,資本準備金,Equity,bs,BS純資産,123,32000,資本準備金
32200,その他資本剰余金,Equity,bs,BS純資産,124,32000,その他資本剰余金
33000,利益剰余金,Equity,bs,BS純資産,125,30000,利益剰余金
33100,法定準備金,Equity,bs,BS純資産,126,33000,法定準備金
33200,任意積立金,Equity,bs,BS純資産,127,33000,任意積立金
33210,営農指導積立金,Equity,bs,BS純資産,128,33200,営農指導積立金
33220,経営安定対策積立金,Equity,bs,BS純資産,129,33200,経営安定対策積立金
33230,事業基盤強化積立金,Equity,bs,BS純資産,130,33200,事業基盤強化積立金
33240,その他任意積立金,Equity,bs,BS純資産,131,33200,その他任意積立金
33300,当期未処分剰余金（未処理損失金）,Equity,bs,BS純資産,132,33000,当期未処分剰余金（未処理損失金）
34000,その他純資産,Equity,bs,BS純資産,133,30000,その他純資産
34100,評価・換算差額等,Equity,bs,BS純資産,134,34000,評価・換算差額等
34110,その他有価証券評価差額金,Equity,bs,BS純資産,135,34100,その他有価証券評価差額金
34120,繰延ヘッジ損益,Equity,bs,BS純資産,136,34100,繰延ヘッジ損益
34130,土地再評価差額金,Equity,bs,BS純資産,137,34100,土地再評価差額金
34200,その他,Equity,bs,BS純資産,138,34000,その他純資産
